Depth	Depth_m	Depth_m(Nablank)	Admix_71_Pop1	Admix_71_Pop2	Admix_All_Pop1	Admix_All_Pop2	PC1_AllSNPs
0-5m	3	3	0.369032	0.630968	0.00001	0.99999	-0.0355201
20-25m	22	22	0.99999	0.00001	0.99999	0.00001	0.0503254
20-25m	22	22	0.950004	0.049996	0.999205	0.000795	0.0447486
20-25m	22	22	0.99999	0.00001	0.99999	0.00001	0.0491811
20-25m	22	22	0.607847	0.392153	0.99834	0.00166	0.0464992
20-25m	22	22	0.99999	0.00001	0.99999	0.00001	0.0554158
20-25m	22	22	0.591537	0.408463	0.99999	0.00001	0.0547156
20-25m	22	22	0.531586	0.468414	0.99999	0.00001	0.0564853
20-25m	22	22	0.545147	0.454853	0.99999	0.00001	0.0496833
20-25m	22	22	0.99999	0.00001	0.99999	0.00001	0.0518878
20-25m	22	22	0.737974	0.262026	0.99999	0.00001	0.0506803
20-25m	22	22	0.99999	0.00001	0.99999	0.00001	0.0522394
20-25m	22	22	0.715129	0.284871	0.99999	0.00001	0.0515925
20-25m	22	22	0.9344	0.0656	0.99999	0.00001	0.0512346
20-25m	22	22	0.982165	0.017835	0.985937	0.014063	0.0495919
20-25m	22	22	0.655655	0.344345	0.99999	0.00001	0.0530567
20-25m	22	22	0.966995	0.033005	0.982071	0.017929	0.0490141
20-25m	22	22	0.99999	0.00001	0.99999	0.00001	0.0547457
20-25m	22	22	0.983441	0.016559	0.99999	0.00001	0.0544274
20-25m	22	22	0.629928	0.370072	0.99999	0.00001	0.0468728
0-5m	3	3	0.009008	0.990992	0.00001	0.99999	-0.0409942
10-15m	12	12	0.449315	0.550685	0.344085	0.655915	-0.00292066
10-15m	12	12	0.131726	0.868274	0.071825	0.928175	-0.0222876
5-10m	7	7	0.373523	0.626477	0.00001	0.99999	-0.0318333
5-10m	7	7	0.121373	0.878627	0.00001	0.99999	-0.0302627
5-10m	7	7	0.303121	0.696879	0.00001	0.99999	-0.026101
5-10m	7	7	0.511668	0.488332	0.48704	0.51296	0.0095246
10-15m	12	12	0.294	0.706	0.00001	0.99999	-0.03699
10-15m	12	12	0.295076	0.704924	0.416694	0.583306	0.00304144
0-5m	3	3	0.24156	0.75844	0.038496	0.961504	-0.0217105
0-5m	3	3	0.00001	0.99999	0.00001	0.99999	-0.0263802
0-5m	3	3	0.00001	0.99999	0.00001	0.99999	-0.0459533
0-5m	3	3	0.45748	0.54252	0.440222	0.559778	0.00538557
0-5m	3	3	0.582724	0.417276	0.420313	0.579687	0.00165771
0-5m	3	3	0.178681	0.821319	0.00001	0.99999	-0.038297
0-5m	3	3	0.337125	0.662875	0.00001	0.99999	-0.0350754
5-10m	7	7	0.3367	0.6633	0.112345	0.887655	-0.022575
0-5m	3	3	0.308923	0.691077	0.00001	0.99999	-0.0324419
5-10m	7	7	0.548387	0.451613	0.090092	0.909908	-0.0232276
10-15m	12	12	0.067493	0.932507	0.00001	0.99999	-0.0239165
0-5m	3	3	0.802602	0.197398	0.00001	0.99999	-0.0334199
0-5m	3	3	0.315799	0.684201	0.00001	0.99999	-0.0513527
5-10m	7	7	0.00001	0.99999	0.00001	0.99999	-0.0286185
0-5m	3	3	0.00001	0.99999	0.00001	0.99999	-0.0398191
0-5m	3	3	0.302978	0.697022	0.00001	0.99999	-0.0565563
5-10m	7	7	0.559805	0.440195	0.001253	0.998747	-0.0278317
0-5m	3	3	0.155641	0.844359	0.00001	0.99999	-0.0424888
0-5m	3	3	0.070967	0.929033	0.00001	0.99999	-0.041403
5-10m	7	7	0.080409	0.919591	0.00001	0.99999	-0.0304773
5-10m	7	7	0.864646	0.135354	0.501883	0.498117	0.00737223
5-10m	7	7	0.797497	0.202503	0.608286	0.391714	0.0166656
5-10m	7	7	0.179562	0.820438	0.00001	0.99999	-0.0402002
20-25m	22	22	0.99999	0.00001	0.99999	0.00001	0.0401448
15-20m	18	18	0.99999	0.00001	0.99999	0.00001	0.0547708
20-25m	22	22	0.908912	0.091088	0.99999	0.00001	0.0492793
20-25m	22	22	0.99999	0.00001	0.99999	0.00001	0.0514865
20-25m	22	22	0.99999	0.00001	0.99999	0.00001	0.0496678
20-25m	22	22	0.99999	0.00001	0.99999	0.00001	0.0500177
15-20m	18	18	0.774483	0.225517	0.99999	0.00001	0.0524311
20-25m	22	22	0.99999	0.00001	0.955546	0.044454	0.0474879
15-20m	18	18	0.99999	0.00001	0.99999	0.00001	0.0528052
15-20m	18	18	0.99999	0.00001	0.99999	0.00001	0.0559535
20-25m	22	22	0.99999	0.00001	0.988358	0.011642	0.0465392
15-20m	18	18	0.99999	0.00001	0.99999	0.00001	0.0473575
15-20m	18	18	0.99999	0.00001	0.99999	0.00001	0.054162
20-25m	22	22	0.99999	0.00001	0.99999	0.00001	0.0498235
15-20m	18	18	0.99999	0.00001	0.995671	0.004329	0.0471411
15-20m	18	18	0.69669	0.30331	0.99999	0.00001	0.0524895
15-20m	18	18	0.99999	0.00001	0.99999	0.00001	0.0471586
15-20m	18	18	0.657871	0.342129	0.99999	0.00001	0.0475642
20-25m	22	22	0.99999	0.00001	0.99999	0.00001	0.0451637
15-20m	18	18	0.722517	0.277483	0.99999	0.00001	0.0499273
15-20m	18	18	0.813124	0.186876	0.99999	0.00001	0.0529014
20-25m	22	22	0.497238	0.502762	0.235939	0.764061	-0.0173054
15-20m	18	18	0.722201	0.277799	0.99999	0.00001	0.0502282
0-5m	3	3	0.526378	0.473622	0.275246	0.724754	-0.003719
0-5m	3	3	0.297442	0.702558	0.071738	0.928262	-0.0176232
0-5m	3	3	0.468235	0.531765	0.493112	0.506888	0.00688871
0-5m	3	3	0.339092	0.660908	0.00001	0.99999	-0.0328613
5-10m	7	7	0.354843	0.645157	0.169218	0.830782	-0.0118991
0-5m	3	3	0.06774	0.93226	0.228981	0.771019	-0.00913448
0-5m	3	3	0.965022	0.034978	0.590736	0.409264	0.0124524
0-5m	3	3	0.009187	0.990813	0.00001	0.99999	-0.0303617
0-5m	3	3	0.312265	0.687735	0.00001	0.99999	-0.0226418
0-5m	3	3	0.130434	0.869566	0.458745	0.541255	0.00775921
0-5m	3	3	0.213096	0.786904	0.13005	0.86995	-0.018303
0-5m	3	3	0.573727	0.426273	0.280418	0.719582	-0.00533114
0-5m	3	3	0.135933	0.864067	0.073818	0.926182	-0.0217581
0-5m	3	3	0.123824	0.876176	0.00001	0.99999	-0.0326652
0-5m	3	3	0.42571	0.57429	0.176797	0.823203	-0.0184841
0-5m	3	3	0.909924	0.090076	0.382355	0.617645	-0.00242424
5-10m	7	7	0.601761	0.398239	0.660964	0.339036	0.0212744
0-5m	3	3	0.246619	0.753381	0.06218	0.93782	-0.022054
5-10m	7	7	0.299293	0.700707	0.230102	0.769898	-0.00901406
5-10m	7	7	0.594724	0.405276	0.347578	0.652422	-0.000231184
5-10m	7	7	0.99999	0.00001	0.899027	0.100973	0.0349826
5-10m	7	7	0.497365	0.502635	0.337281	0.662719	-0.00308419
5-10m	7	7	0.397075	0.602925	0.130018	0.869982	-0.0264828
5-10m	7	7	0.36533	0.63467	0.00001	0.99999	-0.0280938
5-10m	7	7	0.138581	0.861419	0.000166	0.999834	-0.0238797
10-15m	12	12	0.351737	0.648263	0.700529	0.299471	0.0217874
10-15m	12	12	0.053677	0.946323	0.00001	0.99999	-0.0300298
10-15m	12	12	0.404548	0.595452	0.520674	0.479326	0.0128584
10-15m	12	12	0.26206	0.73794	0.108971	0.891029	-0.0190606
10-15m	12	12	0.344221	0.655779	0.446319	0.553681	-0.00024533
10-15m	12	12	0.397863	0.602137	0.00001	0.99999	-0.0324585
10-15m	12	12	0.99999	0.00001	0.971961	0.028039	0.0404519
15-20m	18	18	0.193421	0.806579	0.314002	0.685998	-0.00310332
15-20m	18	18	0.192361	0.807639	0.126916	0.873084	-0.015461
20-25m	22	22	0.99999	0.00001	0.754068	0.245932	0.0265954
15-20m	18	18	0.33929	0.66071	0.370098	0.629902	0.000341187
15-20m	18	18	0.839072	0.160928	0.663471	0.336529	0.0239403
20-25m	22	22	0.558053	0.441947	0.644007	0.355993	0.0215635
15-20m	18	18	0.367671	0.632329	0.008018	0.991982	-0.0349327
15-20m	18	18	0.386929	0.613071	0.341745	0.658255	-0.00322308
20-25m	22	22	0.64984	0.35016	0.370443	0.629557	-0.00549719
20-25m	22	22	0.21901	0.78099	0.00001	0.99999	-0.0307543
20-25m	22	22	0.333002	0.666998	0.386801	0.613199	-0.00128784
20-25m	22	22	0.530886	0.469114	0.283572	0.716428	-0.00883322
20-25m	22	22	0.428776	0.571224	0.352513	0.647487	-0.00621924
10-15m	NA		0.99999	0.00001	0.99999	0.00001	0.0501971
